TimeStamp,GantryFrom,GantryTo,VehicleType,Speed,Volume
2025/1/1 09:25,03F2066S,03F2079S,42,79,6
2025/1/1 09:25,03F2129S,03F2152S,5,79,2
2025/1/1 09:30,03F2100S,03F2129S,42,79,5
2025/1/1 09:30,03F2129S,03F2152S,42,79,5
2025/1/1 09:35,03F2078N,03F2066N,5,48,2
2025/1/1 09:40,03F2100S,03F2129S,42,75,5
2025/1/1 09:45,03F2100S,03F2129S,42,79,3
2025/1/1 09:50,03F2153N,03F2125N,5,79,3
2025/1/1 09:50,03F2194N,03F2153N,5,79,3
2025/1/1 09:55,03F2078N,03F2066N,42,79,5
2025/1/1 10:20,03F2125N,03F2100N,41,61,2
2025/1/1 10:35,03F2100S,03F2129S,5,79,1
2025/1/1 10:40,03F2125N,03F2100N,41,75,3
2025/1/1 10:40,03F2100S,03F2129S,5,75,1
2025/1/1 10:40,03F2129S,03F2152S,5,79,3
2025/1/1 10:45,03F2078N,03F2066N,5,41,6
2025/1/1 10:50,03F2100S,03F2129S,42,75,4
2025/1/1 10:50,03F2129S,03F2152S,42,79,7
2025/1/1 10:50,03F2129S,03F2152S,5,79,3
2025/1/1 10:55,03F2153N,03F2125N,41,79,1
2025/1/1 11:05,03F2066S,03F2079S,5,75,3
2025/1/1 11:05,03F2100S,03F2129S,5,79,2
2025/1/1 11:10,03F2079S,03F2100S,42,79,5
2025/1/1 11:10,03F2100S,03F2129S,5,75,1
2025/1/1 11:10,03F2129S,03F2152S,5,79,1
2025/1/1 11:20,03F2066S,03F2079S,42,72,3
2025/1/1 11:25,03F2066S,03F2079S,42,79,5
2025/1/1 11:30,03F2100S,03F2129S,42,79,6
2025/1/1 11:30,03F2100S,03F2129S,5,79,4
2025/1/1 11:30,03F2129S,03F2152S,5,79,1
2025/1/1 11:30,03F2152S,03F2194S,5,79,2
2025/1/1 11:35,03F2194N,03F2153N,42,72,1
2025/1/1 11:40,03F2153N,03F2125N,42,75,1
2025/1/1 11:40,03F2100S,03F2129S,42,77,2
2025/1/1 11:45,03F2066S,03F2079S,42,79,5
2025/1/1 11:45,03F2066S,03F2079S,5,79,2
2025/1/1 11:50,03F2194N,03F2153N,5,79,3
2025/1/1 11:55,03F2078N,03F2066N,42,79,5
2025/1/1 12:00,03F2066S,03F2079S,41,79,1
2025/1/1 12:00,03F2079S,03F2100S,41,79,1
2025/1/1 12:05,03F2100S,03F2129S,41,75,1
2025/1/1 12:10,03F2066S,03F2079S,5,75,6
2025/1/1 12:15,03F2153N,03F2125N,5,75,3
2025/1/1 12:15,03F2100S,03F2129S,41,79,1
2025/1/1 12:15,03F2129S,03F2152S,41,75,1
2025/1/1 12:15,03F2129S,03F2152S,42,79,2
2025/1/1 12:20,03F2078N,03F2066N,5,79,3
2025/1/1 12:25,03F2066S,03F2079S,5,79,5
2025/1/1 12:25,03F2125N,03F2100N,41,79,1
2025/1/1 12:30,03F2100N,03F2078N,42,75,3
2025/1/1 12:30,03F2153N,03F2125N,5,75,1
2025/1/1 12:35,03F2078N,03F2066N,5,75,1
2025/1/1 12:35,03F2100N,03F2078N,5,79,3
2025/1/1 12:35,03F2194N,03F2153N,42,52,2
2025/1/1 12:40,03F2100N,03F2078N,5,77,2
2025/1/1 12:40,03F2100S,03F2129S,41,72,1
2025/1/1 12:45,03F2078N,03F2066N,42,79,5
2025/1/1 12:45,03F2078N,03F2066N,5,75,1
2025/1/1 12:45,03F2100N,03F2078N,5,72,1
2025/1/1 12:45,03F2153N,03F2125N,42,79,5
2025/1/1 12:50,03F2078N,03F2066N,42,79,10
2025/1/1 12:50,03F2100N,03F2078N,42,79,7
2025/1/1 12:50,03F2153N,03F2125N,5,79,1
2025/1/1 12:55,03F2066S,03F2079S,41,79,1
2025/1/1 12:55,03F2079S,03F2100S,42,79,2
2025/1/1 12:55,03F2194N,03F2153N,5,72,1
2025/1/1 13:00,03F2100N,03F2078N,41,46,2
2025/1/1 13:05,03F2100N,03F2078N,42,79,4
2025/1/1 13:05,03F2153N,03F2125N,5,79,5
2025/1/1 13:10,03F2194N,03F2153N,42,68,3
2025/1/1 13:15,03F2078N,03F2066N,42,61,1
2025/1/1 13:15,03F2100S,03F2129S,5,79,2
2025/1/1 13:15,03F2129S,03F2152S,5,79,3
2025/1/1 13:25,03F2129S,03F2152S,5,79,2
2025/1/1 13:25,03F2152S,03F2194S,42,79,4
2025/1/1 13:35,03F2066S,03F2079S,41,79,1
2025/1/1 13:35,03F2153N,03F2125N,42,79,5
2025/1/1 13:40,03F2078N,03F2066N,42,79,7
2025/1/1 13:45,03F2079S,03F2100S,5,79,1
2025/1/1 13:55,03F2194N,03F2153N,5,77,2
2025/1/1 14:00,03F2100N,03F2078N,42,79,5
2025/1/1 14:05,03F2066S,03F2079S,41,79,1
2025/1/1 14:05,03F2079S,03F2100S,41,79,1
2025/1/1 14:05,03F2079S,03F2100S,42,50,2
2025/1/1 14:20,03F2078N,03F2066N,42,79,4
2025/1/1 14:20,03F2100N,03F2078N,42,72,1
2025/1/1 14:20,03F2066S,03F2079S,5,79,3
2025/1/1 14:25,03F2079S,03F2100S,42,73,2
2025/1/1 14:25,03F2079S,03F2100S,5,50,2
2025/1/1 14:25,03F2153N,03F2125N,5,79,3
2025/1/1 14:35,03F2066S,03F2079S,41,75,1
2025/1/1 14:35,03F2153N,03F2125N,5,79,4
2025/1/1 14:35,03F2100S,03F2129S,42,79,3
2025/1/1 14:35,03F2152S,03F2194S,42,39,2
2025/1/1 14:40,03F2153N,03F2125N,5,75,2
2025/1/1 14:45,03F2079S,03F2100S,5,79,5
2025/1/1 14:45,03F2153N,03F2125N,5,79,1
2025/1/1 14:45,03F2100S,03F2129S,42,72,3
2025/1/1 14:45,03F2194N,03F2153N,5,75,1
2025/1/1 14:50,03F2078N,03F2066N,5,79,1
2025/1/1 14:50,03F2100N,03F2078N,5,79,1
2025/1/1 14:50,03F2066S,03F2079S,5,79,3
2025/1/1 14:50,03F2079S,03F2100S,5,75,2
2025/1/1 14:50,03F2153N,03F2125N,5,75,2
2025/1/1 14:50,03F2152S,03F2194S,41,68,1
2025/1/1 14:55,03F2100N,03F2078N,5,75,3
2025/1/1 14:55,03F2153N,03F2125N,41,79,3
2025/1/1 14:55,03F2100S,03F2129S,41,79,1
2025/1/1 15:00,03F2079S,03F2100S,42,75,1
2025/1/1 15:05,03F2153N,03F2125N,41,79,1
2025/1/1 15:10,03F2066S,03F2079S,42,43,2
2025/1/1 15:10,03F2066S,03F2079S,5,79,2
2025/1/1 15:10,03F2100S,03F2129S,42,79,3
2025/1/1 15:15,03F2078N,03F2066N,5,3,1
2025/1/1 15:15,03F2066S,03F2079S,42,72,1
2025/1/1 15:15,03F2066S,03F2079S,5,79,3
2025/1/1 15:15,03F2079S,03F2100S,42,79,2
2025/1/1 15:15,03F2100S,03F2129S,42,79,1
2025/1/1 15:15,03F2100S,03F2129S,5,72,1
2025/1/1 15:20,03F2100N,03F2078N,42,79,3
2025/1/1 15:20,03F2129S,03F2152S,42,79,3
2025/1/1 15:40,03F2100N,03F2078N,5,77,2
2025/1/1 15:40,03F2153N,03F2125N,5,79,3
2025/1/1 15:45,03F2066S,03F2079S,5,75,1
2025/1/1 15:45,03F2079S,03F2100S,42,79,5
2025/1/1 15:45,03F2100S,03F2129S,42,79,4
2025/1/1 15:50,03F2078N,03F2066N,42,75,4
2025/1/1 15:50,03F2100N,03F2078N,42,77,2
2025/1/1 15:50,03F2153N,03F2125N,42,79,3
2025/1/1 15:55,03F2078N,03F2066N,5,43,2
2025/1/1 15:55,03F2153N,03F2125N,42,79,3
2025/1/1 15:55,03F2153N,03F2125N,5,79,4
2025/1/1 16:05,03F2153N,03F2125N,42,79,5
2025/1/1 16:05,03F2153N,03F2125N,5,79,2
2025/1/1 16:10,03F2125N,03F2100N,42,79,1
2025/1/1 16:15,03F2125N,03F2100N,42,79,6
2025/1/1 16:15,03F2194N,03F2153N,41,79,3
2025/1/1 16:20,03F2078N,03F2066N,42,75,1
2025/1/1 16:20,03F2100N,03F2078N,42,79,4
2025/1/1 16:20,03F2100N,03F2078N,5,79,3
2025/1/1 16:20,03F2153N,03F2125N,41,75,2
2025/1/1 16:30,03F2100N,03F2078N,42,77,2
2025/1/1 16:30,03F2153N,03F2125N,41,79,3
2025/1/1 16:30,03F2153N,03F2125N,42,79,3
2025/1/1 16:30,03F2100S,03F2129S,5,75,1
2025/1/1 16:35,03F2153N,03F2125N,32,79,70
2025/1/1 16:35,03F2153N,03F2125N,41,75,3
2025/1/1 16:35,03F2153N,03F2125N,5,75,5
2025/1/1 16:35,03F2129S,03F2152S,41,79,1
2025/1/1 16:40,03F2100N,03F2078N,42,79,1
2025/1/1 16:40,03F2100N,03F2078N,5,75,1
2025/1/1 16:40,03F2153N,03F2125N,32,79,76
2025/1/1 16:40,03F2153N,03F2125N,41,75,6
2025/1/1 16:40,03F2153N,03F2125N,42,75,8
2025/1/1 16:40,03F2153N,03F2125N,5,79,4
2025/1/1 16:40,03F2194N,03F2153N,42,79,6
2025/1/1 16:45,03F2078N,03F2066N,5,75,3
2025/1/1 16:45,03F2100N,03F2078N,42,79,4
2025/1/1 16:45,03F2100N,03F2078N,5,79,4
2025/1/1 16:45,03F2066S,03F2079S,41,79,2
2025/1/1 16:45,03F2066S,03F2079S,5,75,6
2025/1/1 16:45,03F2079S,03F2100S,41,77,2
2025/1/1 16:45,03F2153N,03F2125N,41,77,2
2025/1/1 16:45,03F2153N,03F2125N,42,73,4
2025/1/1 16:45,03F2153N,03F2125N,5,73,2
2025/1/1 16:45,03F2100S,03F2129S,41,75,1
2025/1/1 16:45,03F2100S,03F2129S,42,77,2
2025/1/1 16:45,03F2100S,03F2129S,5,72,1
2025/1/1 16:50,03F2078N,03F2066N,42,77,6
2025/1/1 16:50,03F2125N,03F2100N,5,79,4
2025/1/1 16:50,03F2153N,03F2125N,31,79,337
2025/1/1 16:50,03F2153N,03F2125N,32,79,89
2025/1/1 16:50,03F2153N,03F2125N,41,72,3
2025/1/1 16:50,03F2153N,03F2125N,42,75,4
2025/1/1 16:50,03F2153N,03F2125N,5,75,4
2025/1/1 16:50,03F2100S,03F2129S,41,79,3
2025/1/1 16:50,03F2152S,03F2194S,5,75,1
2025/1/1 16:55,03F2100N,03F2078N,42,77,2
2025/1/1 16:55,03F2100N,03F2078N,5,79,2
2025/1/1 16:55,03F2125N,03F2100N,42,79,3
2025/1/1 16:55,03F2153N,03F2125N,42,79,3
2025/1/1 16:55,03F2153N,03F2125N,5,72,3
2025/1/1 17:00,03F2066S,03F2079S,42,72,7
2025/1/1 17:00,03F2153N,03F2125N,41,75,3
2025/1/1 17:00,03F2153N,03F2125N,42,77,2
2025/1/1 17:00,03F2194N,03F2153N,42,79,3
2025/1/1 17:05,03F2078N,03F2066N,42,79,4
2025/1/1 17:05,03F2153N,03F2125N,41,79,1
2025/1/1 17:05,03F2153N,03F2125N,42,75,4
2025/1/1 17:05,03F2153N,03F2125N,5,72,1
2025/1/1 17:10,03F2100N,03F2078N,42,77,4
2025/1/1 17:10,03F2153N,03F2125N,41,72,1
2025/1/1 17:10,03F2153N,03F2125N,42,72,5
2025/1/1 17:10,03F2153N,03F2125N,5,79,3
2025/1/1 17:10,03F2100S,03F2129S,5,75,1
2025/1/1 17:15,03F2153N,03F2125N,31,75,333
2025/1/1 17:15,03F2153N,03F2125N,32,75,94
2025/1/1 17:15,03F2153N,03F2125N,41,70,2
2025/1/1 17:15,03F2153N,03F2125N,42,68,5
2025/1/1 17:15,03F2153N,03F2125N,5,72,4
2025/1/1 17:15,03F2100S,03F2129S,42,75,1
2025/1/1 17:15,03F2152S,03F2194S,41,64,2
2025/1/1 17:20,03F2125N,03F2100N,32,79,66
2025/1/1 17:20,03F2125N,03F2100N,41,72,2
2025/1/1 17:20,03F2125N,03F2100N,42,68,3
2025/1/1 17:20,03F2125N,03F2100N,5,75,5
2025/1/1 17:20,03F2153N,03F2125N,32,79,73
2025/1/1 17:20,03F2153N,03F2125N,41,79,2
2025/1/1 17:20,03F2153N,03F2125N,42,75,5
2025/1/1 17:20,03F2153N,03F2125N,5,79,5
2025/1/1 17:20,03F2194N,03F2153N,42,79,3
2025/1/1 17:25,03F2078N,03F2066N,42,77,8
2025/1/1 17:25,03F2100N,03F2078N,41,79,7
2025/1/1 17:25,03F2100N,03F2078N,42,72,5
2025/1/1 17:25,03F2100N,03F2078N,5,77,4
2025/1/1 17:25,03F2066S,03F2079S,42,72,5
2025/1/1 17:25,03F2125N,03F2100N,31,75,266
2025/1/1 17:25,03F2125N,03F2100N,32,75,44
2025/1/1 17:25,03F2125N,03F2100N,41,72,10
2025/1/1 17:25,03F2125N,03F2100N,42,75,3
2025/1/1 17:25,03F2125N,03F2100N,5,77,4
2025/1/1 17:25,03F2079S,03F2100S,41,55,2
2025/1/1 17:25,03F2079S,03F2100S,42,73,4
2025/1/1 17:25,03F2153N,03F2125N,32,79,80
2025/1/1 17:25,03F2153N,03F2125N,41,73,4
2025/1/1 17:25,03F2153N,03F2125N,42,75,4
2025/1/1 17:25,03F2100S,03F2129S,41,75,3
2025/1/1 17:25,03F2194N,03F2153N,41,37,2
2025/1/1 17:30,03F2078N,03F2066N,5,79,6
2025/1/1 17:30,03F2100N,03F2078N,41,79,4
2025/1/1 17:30,03F2100N,03F2078N,42,79,1
2025/1/1 17:30,03F2100N,03F2078N,5,72,4
2025/1/1 17:30,03F2125N,03F2100N,41,79,4
2025/1/1 17:30,03F2125N,03F2100N,5,75,4
2025/1/1 17:30,03F2153N,03F2125N,41,75,3
2025/1/1 17:30,03F2153N,03F2125N,5,72,1
2025/1/1 17:30,03F2100S,03F2129S,42,75,3
2025/1/1 17:30,03F2152S,03F2194S,42,72,3
2025/1/1 17:35,03F2100N,03F2078N,5,79,3
2025/1/1 17:35,03F2125N,03F2100N,5,75,2
2025/1/1 17:35,03F2153N,03F2125N,41,72,3
2025/1/1 17:35,03F2153N,03F2125N,42,75,5
2025/1/1 17:35,03F2153N,03F2125N,5,79,1
2025/1/1 17:35,03F2152S,03F2194S,41,59,2
2025/1/1 17:35,03F2152S,03F2194S,42,72,2
2025/1/1 17:40,03F2100N,03F2078N,41,79,3
2025/1/1 17:40,03F2100N,03F2078N,42,79,8
2025/1/1 17:40,03F2079S,03F2100S,5,77,2
2025/1/1 17:40,03F2153N,03F2125N,41,68,1
2025/1/1 17:40,03F2153N,03F2125N,42,73,8
2025/1/1 17:40,03F2153N,03F2125N,5,75,1
2025/1/1 17:45,03F2066S,03F2079S,41,75,1
2025/1/1 17:45,03F2066S,03F2079S,42,68,1
2025/1/1 17:45,03F2079S,03F2100S,42,68,1
2025/1/1 17:45,03F2153N,03F2125N,42,79,2
2025/1/1 17:45,03F2100S,03F2129S,42,68,1
2025/1/1 17:50,03F2153N,03F2125N,42,77,4
2025/1/1 17:50,03F2153N,03F2125N,5,77,4
2025/1/1 17:50,03F2194N,03F2153N,42,79,1
2025/1/1 17:50,03F2194N,03F2153N,5,79,3
2025/1/1 17:55,03F2078N,03F2066N,5,73,2
2025/1/1 17:55,03F2100N,03F2078N,42,79,2
2025/1/1 17:55,03F2100N,03F2078N,5,79,5
2025/1/1 17:55,03F2125N,03F2100N,42,79,1
2025/1/1 17:55,03F2079S,03F2100S,42,72,2
2025/1/1 17:55,03F2153N,03F2125N,41,79,3
2025/1/1 17:55,03F2153N,03F2125N,42,79,3
2025/1/1 17:55,03F2153N,03F2125N,5,79,2
2025/1/1 18:00,03F2066S,03F2079S,42,77,2
2025/1/1 18:00,03F2066S,03F2079S,5,73,2
2025/1/1 18:00,03F2125N,03F2100N,42,79,2
2025/1/1 18:00,03F2153N,03F2125N,42,72,5
2025/1/1 18:00,03F2153N,03F2125N,5,75,1
2025/1/1 18:00,03F2129S,03F2152S,42,79,4
2025/1/1 18:05,03F2078N,03F2066N,42,57,1
2025/1/1 18:05,03F2100N,03F2078N,41,79,1
2025/1/1 18:05,03F2100N,03F2078N,42,64,1
2025/1/1 18:05,03F2100N,03F2078N,5,79,1
2025/1/1 18:05,03F2153N,03F2125N,41,77,2
2025/1/1 18:05,03F2153N,03F2125N,42,68,1
2025/1/1 18:10,03F2066S,03F2079S,42,72,1
2025/1/1 18:10,03F2066S,03F2079S,5,70,2
2025/1/1 18:10,03F2079S,03F2100S,42,75,1
2025/1/1 18:10,03F2079S,03F2100S,5,75,1
2025/1/1 18:10,03F2153N,03F2125N,41,79,4
2025/1/1 18:10,03F2153N,03F2125N,42,79,5
2025/1/1 18:15,03F2100N,03F2078N,42,79,3
2025/1/1 18:15,03F2066S,03F2079S,42,79,1
2025/1/1 18:15,03F2079S,03F2100S,42,3,1
2025/1/1 18:15,03F2153N,03F2125N,41,77,2
2025/1/1 18:15,03F2100S,03F2129S,5,72,1
2025/1/1 18:15,03F2129S,03F2152S,42,79,2
2025/1/1 18:15,03F2194N,03F2153N,5,79,1
2025/1/1 18:20,03F2100N,03F2078N,42,79,1
2025/1/1 18:20,03F2066S,03F2079S,5,79,1
2025/1/1 18:20,03F2125N,03F2100N,42,79,2
2025/1/1 18:25,03F2066S,03F2079S,5,79,3
2025/1/1 18:30,03F2078N,03F2066N,41,75,3
2025/1/1 18:30,03F2078N,03F2066N,5,75,1
2025/1/1 18:30,03F2066S,03F2079S,42,57,1
2025/1/1 18:30,03F2066S,03F2079S,5,79,2
2025/1/1 18:30,03F2153N,03F2125N,5,79,3
2025/1/1 18:30,03F2100S,03F2129S,5,79,1
2025/1/1 18:35,03F2078N,03F2066N,41,75,2
2025/1/1 18:35,03F2078N,03F2066N,42,77,2
2025/1/1 18:35,03F2100N,03F2078N,41,72,2
2025/1/1 18:35,03F2100N,03F2078N,42,75,4
2025/1/1 18:35,03F2066S,03F2079S,42,79,7
2025/1/1 18:40,03F2078N,03F2066N,5,79,3
2025/1/1 18:40,03F2100N,03F2078N,5,79,5
2025/1/1 18:40,03F2066S,03F2079S,5,72,1
2025/1/1 18:40,03F2079S,03F2100S,42,75,7
2025/1/1 18:40,03F2100S,03F2129S,42,79,9
2025/1/1 18:40,03F2194N,03F2153N,42,75,1
2025/1/1 18:40,03F2194N,03F2153N,5,79,1
2025/1/1 18:40,03F2152S,03F2194S,5,75,2
2025/1/1 18:45,03F2100N,03F2078N,5,68,1
2025/1/1 18:45,03F2125N,03F2100N,5,79,1
2025/1/1 18:45,03F2153N,03F2125N,42,72,5
2025/1/1 18:45,03F2100S,03F2129S,42,77,2
