編號,行政區,設置地點,取締項目,速限speed,緯度,經度,固定式,轄區分局,取締行向
156,清水區,清水區臨港路與港埠路路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,70,24.294133,120.552481,是,,
157,沙鹿區,沙鹿區向上路六段752號前(東向西、龍井交流道),超速,50,24.201292,120.569944,是,,
158,沙鹿區,沙鹿區向上路七段近321號(東西雙向),超速,60,24.210121,120.559743,是,,
159,沙鹿區,沙鹿區中清路七段(西向東、台10線5.5K),超速,60,24.253682,120.574881,是,,
160,沙鹿區,沙鹿區三民路與七賢路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.2419,120.570951,是,,
161,沙鹿區,沙鹿區臺灣大道七段與七賢路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.238121,120.567671,是,,
162,沙鹿區,沙鹿區臺灣大道六段(東向西、台12線7.4K)【弘光科技大學】,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.216763,120.580823,是,,
163,沙鹿區,沙鹿區臺灣大道七段(東向西、台12線6.4K)【靜宜大學】,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.2254,120.577103,是,,
164,沙鹿區,沙鹿區臺灣大道七段466號前(東向西),超速,60,24.2327,120.572408,是,,
165,沙鹿區,沙鹿區中清路六段(東向西、台10線9.2K)【清泉所】,超速,70,24.24623,120.60923,是,,
166,沙鹿區,沙鹿區中清路七段(東向西、台10線6.7K),超速,60,24.25025,120.58471,是,,
167,沙鹿區,沙鹿區臺灣大道七段與晉文路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.22331,120.578425,是,,
168,沙鹿區,沙鹿區東大路二段1507號(東大路二段與清泉路口),超速,50,24.240447,120.614606,是,,
169,沙鹿區,沙鹿區中清路5段535巷口,超速,70,24.242765,120.619012,是,,
170,梧棲區,梧棲區港埠路二段與大智路二段路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.258166,120.539424,是,,
171,梧棲區,梧棲區中華路一段(北向南、台1線168.5K),超速,70,24.236661,120.548323,是,,
172,梧棲區,梧棲區臺灣大道八段與港埠路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,60,24.249953,120.536376,是,,
173,大甲區,大甲區經國路與育英路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.353781,120.618761,是,,
174,大甲區,大甲區經國路與和平路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.356601,120.622803,是,,
175,大甲區,大甲區經國路與光明路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.347183,120.616963,是,,
176,大甲區,大甲區經國路與通天路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.382695,120.651501,是,,
177,大甲區,大甲區中山路二段與幼獅路口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.408593,120.643621,是,,
178,大甲區,大甲區中山路一段近東安路處(南向北),超速,70,24.326071,120.608823,是,,
179,大甲區,大甲區經國路與大安港路口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.349341,120.617065,是,,
180,大甲區,大甲區大安溪南端橋墩南下車道(經國路東西七路口),闖紅燈、不依標誌、標線、號誌指示行駛、超速,70,24.36607,120.64164,是,,
181,大安區,大安區西濱公路(台61線)143.5K(近南埔路),超速,40,24.338978,120.570563,是,,
182,大安區,大安區西濱公路(台61線)與南安路口,闖紅燈、不依標誌、標線、號誌指示行駛,40,24.349533,120.578101,是,,
183,后里區,后里區三豐路三段(正隆紙廠)前(北向南),闖紅燈、不依標誌、標線、號誌指示行駛,60,24.284721,120.722551,是,,
184,后里區,后里區三豐路五段(北向南、中社花市前),超速,60,24.33512,120.7308,是,,
185,后里區,后里區三豐路三段與枋寮路口,超速,60,24.291349,120.723431,是,,
186,后里區,后里區后科路三段與二圳路口(G6281 BA14燈桿),超速,60,24.3187,120.709806,是,,
187,太平區,太平區中彰快速道路27.5K(往大里方向),超速,80,24.1369,120.709876,是,,
188,太平區,太平區中彰快速道路25.9K(往潭子方向),超速,80,24.149886,120.714855,是,,
189,太平區,太平區中彰快速道路東平路匝道口,闖紅燈、不依標誌、標線、號誌指示行駛,40,24.1347,120.709768,是,,
190,太平區,太平區祥順路一段310號前(南北雙向),超速,50,24.15363,120.725218,是,,
191,太平區,太平區環中東路四段與十甲路口,闖紅燈、不依標誌、標線、號誌指示行駛,50,24.144119,120.712039,是,,
192,太平區,太平區環中東路三段(北向南、育才路與樹孝路67巷間),超速,50,24.154286,120.716785,是,,
193,太平區,太平區長龍路1段139號對面,超速,50,24.131111,120.741444,是,,
194,太平區,太平區長龍路4段25巷口,超速,40,24.108113,120.781618,是,,
195,太平區,太平區長龍路4段35.5K,超速,30,24.089516,120.816942,是,,
196,太平區,太平區市民大道一段與溪州西路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.140752,120.713751,是,,
197,東勢區,東勢區東關路六段與新盛街口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.237773,120.834561,是,,
198,東勢區,東勢區東關路六段199巷口,闖紅燈、不依標誌、標線、號誌指示行駛,60,24.221623,120.837111,是,,
199,東勢區,東勢區東關路六段近262巷(東向西),超速,60,24.222034,120.837181,是,,
200,東勢區,東勢區東蘭路(北向南、台3線152.3K),超速,60,24.291848,120.800086,是,,
201,東勢區,東勢區東關路與豐勢路口,闖紅燈、不依標誌、標線、號誌指示行駛、超速,50,24.261785,120.823156,是,,
202,東勢區,東勢區東蘭路153-2號前,超速,60,24.2828,120.809409,是,,
203,石岡區,石岡區明德路與大勇街口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.275591,120.773121,是,,
204,石岡區,石岡區豐勢路與廣華街口,超速,70,24.275433,120.782723,是,,
205,石岡區,石岡區豐勢路與萬仙街口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.27301,120.791119,是,,
206,石岡區,石岡區明德路與金川巷口,闖紅燈、不依標誌、標線、號誌指示行駛,70,24.2748,120.773747,是,,
207,石岡區,石岡區明德路68之2號前,超速,70,24.27415,120.77903,是,,
208,西屯區,西屯區中科路近經貿五路口(南往北方向),超速,50,24.19022362,120.6564593,是,,
209,豐原區,豐原區豐原大道4段與南陽路口,超速,60,24.24387397,120.7301252,是,,
210,東區,東區環中東路近東義街口,超速,50,24.13168736,120.7070693,是,,
211,大雅區,大雅區民生路4段37號,超速,60,24.23636225,120.6680272,是,,
212,大里區,大里區中興路1段288號,超速,50,24.08715693,120.6961637,是,,
213,大里區,大里區台74線快速道路35公里處,超速,80,24.07607591,120.6840081,是,,
214,龍井區,臨港東路2段與西濱路2段口,超速,60,24.19847888,120.5142906,是,,
215,梧棲區,梧棲區中華路與中華路1段250巷前,超速,70,24.22396132,120.5441136,是,,
216,太平區,太平區太堤東路、光興路1215巷口,超速,40,24.12271435,120.7310827,是,,
1,西區,,,50,120.6737215,24.14342495,否,,
2,西區,,,50,120.6722571,24.14476594,否,,
3,西區,,,60,120.6600744,24.15685772,否,,
4,西區,,,50,120.6710116,24.15014139,否,,
5,西區,,,50,120.664611,24.12825,否,,
6,西區,,,50,120.6647293,24.130502,否,,
7,中區,,,50,120.6794761,24.14251489,否,,
8,西區,,,50,120.6690586,24.15160211,否,,
9,西區,,,50,120.6700885,24.14772529,否,,
10,西區,,,50,120.6628076,24.1613619,否,,
11,西區,,,50,120.6772071,24.14041059,否,,
12,西區,,,60,120.6637539,24.15483458,否,,
13,西區,,,60,120.6625774,24.15570735,否,,
14,西區,,,50,120.6652434,24.14803972,否,,
15,西區,,,50,120.6694255,24.13882191,否,,
16,西區,,,50,120.6512967,24.14499931,否,,
17,西區,,,50,120.6662889,24.13429043,否,,
18,西區,,,50,120.6572655,24.14129444,否,,
19,西區,,,50,120.6551317,24.15085881,否,,
20,西區,,,50,120.6512606,24.14678864,否,,
21,西區,,,50,120.6779682,24.13410415,否,,
22,西區,,,50,120.6738122,24.1350461,否,,
23,北區,,,50,120.6985787,24.15347108,否,,
24,北區,,,50,120.6996641,24.15899634,否,,
25,北區,,,50,120.6786188,24.17291879,否,,
26,北區,,,50,120.691831,24.16044496,否,,
27,北區,,,50,120.6731574,24.16690821,否,,
28,北區,,,50,120.6856231,24.15592601,否,,
29,北區,,,50,120.6723243,24.14454332,否,,
30,北區,,,50,120.6848891,24.15109411,否,,
31,北區,,,50,120.7037837,24.15777793,否,,
32,北區,,,50,120.6856774,24.1432682,否,,
33,北區,,,50,120.6727306,24.16881545,否,,
34,北區,,,50,120.6895936,24.15778956,否,,
35,北區,,,50,120.683563,24.14827906,否,,
36,北區,,,50,120.6850474,24.16035302,否,,
37,北區,,,50,120.6859988,24.14461123,否,,
38,北區,,,50,120.6721068,24.17009731,否,,
39,北區,,,50,120.6739492,24.16486355,否,,
40,北區,,,50,120.6888742,24.15693603,否,,
41,北區,,,50,120.6850128,24.16303483,否,,
42,北區,,,50,120.6850461,24.16514267,否,,
43,北區,,,50,120.6850158,24.15911806,否,,
44,北區,,,50,120.6770431,24.16520973,否,,
45,北區,,,50,120.6766546,24.16327064,否,,
46,北區,,,50,120.6883591,24.16312825,否,,
47,北區,,,50,120.6754545,24.16546903,否,,
48,北區,,,50,120.6823361,24.16532474,否,,
49,北區,,,50,120.6841267,24.14987088,否,,
50,北區,,,50,120.7038677,24.15960899,否,,
51,北區,,,50,120.6992355,24.15742685,否,,
52,北區,,,50,120.6824883,24.14590272,否,,
53,北區,,,50,120.6838208,24.14632494,否,,
54,北區,,,50,120.6861026,24.14619508,否,,
55,北區,,,50,120.6787704,24.17293666,否,,
56,北區,,,50,120.6733769,24.16691789,否,,
57,北區,,,50,120.6721068,24.17009731,否,,
58,北區,,,50,120.6669032,24.17299064,否,,
59,北區,,,50,120.6851204,24.15760418,否,,
60,北區,,,50,120.6705241,24.15572276,否,,
61,北區,,,50,120.6769298,24.15573055,否,,
62,北區,,,50,120.6773738,24.15283752,否,,
63,北區,,,50,120.6782716,24.14851008,否,,
64,北區,,,50,120.6786602,24.15189328,否,,
65,北區,,,50,120.679667,24.15578196,否,,
66,北區,,,50,120.6666228,24.16684328,否,,
67,北區,,,50,120.6719669,24.1706643,否,,
68,北區,,,50,120.6715275,24.17236146,否,,
69,北區,,,50,120.6656985,24.16519623,否,,
70,北區,,,50,120.6640819,24.16215496,否,,
71,北區,,,50,120.6705832,24.17357167,否,,
72,北區,,,50,120.6735578,24.17386286,否,,
73,北區,,,50,120.6675501,24.16685054,否,,
74,北區,,,50,120.6943266,24.15755293,否,,
75,北區,,,50,120.6918575,24.16013458,否,,
76,北區,,,50,120.6874848,24.16294145,否,,
77,北區,,,50,120.6898225,24.1577073,否,,
78,北區,,,50,120.6856452,24.15593616,否,,
79,北區,,,50,120.6814411,24.15577176,否,,
80,北區,,,50,120.6809816,24.16303498,否,,
81,北區,,,50,120.6804803,24.16542953,否,,
82,北區,,,50,120.6883062,24.15666562,否,,
83,北區,,,50,120.6825607,24.15342443,否,,
